Year,Team,Confederation,FIFA_Ranking,Avg_Age,Matches_Played,Wins,Draws,Losses,Goals_Scored,Goals_Conceded,Goal_Difference,Win_Rate,Avg_Player_Caps,Previous_WC_Appearances,Qualification_Status,Finalist
2006,Austria,UEFA,51,24.7,7,7,0,0,16,14,2,1.0,66.0,5,Host,0
2006,USA,CONCACAF,73,26.8,4,2,2,0,10,7,3,0.5,37.0,3,Direct,0
2006,Australia,AFC,18,24.6,5,3,2,0,8,12,-4,0.6,27.0,6,Host,0
2006,South Korea,AFC,45,25.4,7,1,5,1,7,6,1,0.143,61.0,3,Playoff,1
2006,Uruguay,CONMEBOL,27,28.4,5,1,3,1,15,8,7,0.2,33.0,6,Direct,0
2006,Portugal,UEFA,94,26.4,5,4,1,0,14,9,5,0.8,48.0,6,Direct,1
2006,Serbia,UEFA,80,26.6,4,3,1,0,12,3,9,0.75,36.0,7,Host,0
2006,Denmark,UEFA,14,,5,0,3,2,8,9,-1,0.0,27.0,3,Playoff,0
2006,Mexico,CONCACAF,32,27.8,4,2,1,1,4,1,3,0.5,54.0,4,Host,0
2006,Brazil,CONMEBOL,1,28.1,6,6,0,0,15,7,8,1.0,46.0,8,Host,1
2006,Italy,UEFA,42,26.7,6,6,0,0,8,1,7,1.0,71.0,12,Playoff,1
2006,Japan,AFC,24,28.3,7,4,3,0,8,11,-3,0.571,70.0,5,Playoff,0
2006,Spain,UEFA,6,26.8,7,3,3,1,12,10,2,0.429,74.0,11,Direct,1
2006,Colombia,CONMEBOL,10,25.6,5,0,3,2,14,9,5,0.0,22.0,6,Playoff,0
2006,Croatia,UEFA,18,26.9,4,2,1,1,13,8,5,0.5,34.0,2,Playoff,0
2006,Cameroon,CAF,97,28.0,4,0,1,3,13,14,-1,0.0,58.0,1,Host,0
2006,Germany,UEFA,49,29.5,6,0,1,5,3,12,-9,0.0,73.0,6,Direct,0
2006,Argentina,CONMEBOL,1,25.7,5,4,1,0,7,7,0,0.8,23.0,6,Host,0
2006,Sweden,UEFA,26,28.1,7,4,3,0,3,6,-3,0.571,41.0,2,Host,0
2006,France,UEFA,33,25.3,6,5,1,0,4,4,0,0.833,79.0,10,Host,0
2006,Morocco,CAF,28,,6,3,0,3,2,8,-6,0.5,58.0,1,Direct,0
2006,Switzerland,UEFA,66,25.1,6,6,0,0,11,3,8,1.0,26.0,3,Playoff,0
2006,Egypt,CAF,69,,4,3,0,1,6,11,-5,0.75,74.0,0,Direct,0
2006,Senegal,CAF,57,28.7,7,7,0,0,2,8,-6,1.0,71.0,2,Direct,0
2006,Ecuador,CONMEBOL,47,27.8,5,2,3,0,4,9,-5,0.4,,1,Playoff,0
2006,Nigeria,CAF,63,26.7,4,0,3,1,2,4,-2,0.0,52.0,5,Direct,0
2006,Netherlands,UEFA,17,28.7,4,0,3,1,15,14,1,0.0,57.0,5,Direct,0
2006,Belgium,UEFA,17,27.7,5,4,1,0,2,12,-10,0.8,66.0,7,Direct,0
2006,Chile,CONMEBOL,70,27.0,7,2,0,5,18,12,6,0.286,47.0,5,Direct,0
2006,Poland,UEFA,15,26.4,4,4,0,0,18,14,4,1.0,72.0,6,Host,0
2006,Ghana,CAF,72,26.0,7,6,0,1,4,2,2,0.857,44.0,1,Host,0
2006,England,UEFA,3,27.4,7,1,6,0,3,11,-8,0.143,61.0,1,Playoff,0
2010,Italy,UEFA,22,27.5,5,0,3,2,11,6,5,0.0,34.0,5,Host,1
2010,Ghana,CAF,17,28.3,7,3,4,0,8,4,4,0.429,25.0,4,Playoff,0
2010,Serbia,UEFA,64,25.2,7,4,1,2,11,14,-3,0.571,38.0,0,Host,0
2010,Australia,AFC,67,24.9,4,1,0,3,10,12,-2,0.25,72.0,0,Playoff,0
2010,Senegal,CAF,43,25.7,5,0,4,1,2,13,-11,0.0,58.0,7,Host,0
2010,Spain,UEFA,29,26.6,7,1,2,4,6,6,0,0.143,76.0,12,Playoff,1
2010,Austria,UEFA,56,24.7,5,5,0,0,6,12,-6,1.0,35.0,1,Playoff,0
2010,Japan,AFC,48,26.2,5,5,0,0,6,7,-1,1.0,77.0,1,Playoff,0
2010,Denmark,UEFA,43,25.8,5,1,2,2,2,8,-6,0.2,24.0,4,Host,0
2010,Germany,UEFA,28,27.4,6,3,3,0,13,2,11,0.5,54.0,11,Direct,0
2010,Nigeria,CAF,60,28.6,7,2,0,5,2,8,-6,0.286,29.0,2,Direct,0
2010,Cameroon,CAF,55,24.6,6,1,2,3,18,10,8,0.167,27.0,4,Playoff,0
2010,Croatia,UEFA,43,,6,3,1,2,19,13,6,0.5,30.0,4,Direct,0
2010,Chile,CONMEBOL,45,25.4,4,2,0,2,4,4,0,0.5,37.0,0,Host,0
2010,Colombia,CONMEBOL,32,29.2,4,3,0,1,14,7,7,0.75,44.0,2,Direct,0
2010,Switzerland,UEFA,71,27.0,4,4,0,0,18,4,14,1.0,31.0,4,Direct,0
2010,Netherlands,UEFA,18,26.1,5,3,2,0,16,5,11,0.6,24.0,2,Direct,0
2010,Ecuador,CONMEBOL,94,28.3,6,0,6,0,14,5,9,0.0,61.0,1,Host,0
2010,Poland,UEFA,14,28.2,4,2,2,0,19,12,7,0.5,28.0,1,Playoff,0
2010,France,UEFA,38,24.9,4,1,0,3,19,11,8,0.25,77.0,1,Direct,0
2010,Sweden,UEFA,47,29.4,7,4,0,3,18,7,11,0.571,44.0,4,Playoff,0
2010,Mexico,CONCACAF,28,28.4,5,2,1,2,8,14,-6,0.4,22.0,4,Direct,0
2010,South Korea,AFC,67,28.2,7,4,2,1,10,7,3,0.571,20.0,2,Direct,0
2010,Argentina,CONMEBOL,49,24.9,4,4,0,0,7,10,-3,1.0,63.0,12,Direct,1
2010,Egypt,CAF,30,24.7,4,2,0,2,5,3,2,0.5,38.0,3,Direct,0
2010,Portugal,UEFA,58,28.0,6,0,4,2,4,7,-3,0.0,76.0,2,Playoff,0
2010,England,UEFA,8,26.5,7,3,4,0,9,10,-1,0.429,47.0,3,Playoff,0
2010,USA,CONCACAF,69,27.4,7,4,0,3,5,11,-6,0.571,73.0,6,Direct,0
2010,Morocco,CAF,93,27.5,7,4,0,3,15,3,12,0.571,25.0,1,Host,0
2010,Belgium,UEFA,56,29.1,5,5,0,0,19,11,8,1.0,64.0,4,Host,0
2010,Uruguay,CONMEBOL,74,26.9,6,0,2,4,18,13,5,0.0,52.0,1,Direct,0
2010,Brazil,CONMEBOL,1,24.6,6,5,1,0,18,5,13,0.833,50.0,4,Playoff,0
2014,Australia,AFC,74,27.3,4,2,0,2,18,7,11,0.5,34.0,4,Direct,0
2014,USA,CONCACAF,84,25.6,5,3,1,1,7,2,5,0.6,53.0,1,Playoff,0
2014,Spain,UEFA,34,26.2,5,0,3,2,11,3,8,0.0,36.0,4,Direct,1
2014,Poland,UEFA,65,28.7,4,3,1,0,6,2,4,0.75,25.0,4,Playoff,0
2014,Argentina,CONMEBOL,43,27.4,6,2,0,4,17,11,6,0.333,73.0,7,Direct,0
2014,Morocco,CAF,76,27.1,7,1,4,2,6,2,4,0.143,47.0,1,Direct,1
2014,Sweden,UEFA,79,25.1,4,3,1,0,15,2,13,0.75,68.0,5,Playoff,0
2014,Belgium,UEFA,82,25.0,6,0,5,1,16,8,8,0.0,49.0,2,Host,0
2014,England,UEFA,17,25.9,4,0,2,2,16,8,8,0.0,41.0,13,Playoff,0
2014,Croatia,UEFA,87,26.8,4,1,1,2,8,3,5,0.25,66.0,6,Playoff,0
2014,Germany,UEFA,45,28.8,5,2,2,1,16,9,7,0.4,74.0,4,Playoff,0
2014,Netherlands,UEFA,26,25.6,5,5,0,0,13,9,4,1.0,36.0,4,Direct,0
2014,Chile,CONMEBOL,76,,5,3,2,0,3,8,-5,0.6,59.0,0,Host,0
2014,Ghana,CAF,15,29.0,7,1,2,4,14,6,8,0.143,56.0,0,Direct,1
2014,Cameroon,CAF,30,25.3,6,3,1,2,12,14,-2,0.5,49.0,6,Host,0
2014,France,UEFA,3,27.1,7,4,3,0,7,2,5,0.571,39.0,11,Host,0
2014,South Korea,AFC,15,29.4,5,5,0,0,3,11,-8,1.0,27.0,1,Host,0
2014,Mexico,CONCACAF,14,25.4,5,3,2,0,2,4,-2,0.6,68.0,3,Host,0
2014,Denmark,UEFA,23,25.9,4,2,2,0,5,13,-8,0.5,,2,Direct,0
2014,Brazil,CONMEBOL,10,27.2,5,3,1,1,14,8,6,0.6,21.0,3,Direct,1
2014,Ecuador,CONMEBOL,82,28.3,6,6,0,0,7,7,0,1.0,54.0,5,Host,0
2014,Uruguay,CONMEBOL,71,28.2,5,5,0,0,12,9,3,1.0,53.0,3,Host,1
2014,Colombia,CONMEBOL,49,28.1,7,7,0,0,9,11,-2,1.0,60.0,4,Playoff,0
2014,Austria,UEFA,44,25.3,4,2,2,0,15,10,5,0.5,23.0,0,Direct,0
2014,Japan,AFC,27,28.6,6,5,1,0,7,1,6,0.833,42.0,6,Host,0
2014,Senegal,CAF,26,29.0,6,1,5,0,9,8,1,0.167,70.0,6,Host,0
2014,Switzerland,UEFA,76,27.6,7,1,3,3,16,13,3,0.143,52.0,3,Playoff,0
2014,Portugal,UEFA,45,29.5,4,0,4,0,6,11,-5,0.0,74.0,0,Playoff,0
2014,Serbia,UEFA,75,28.3,6,1,0,5,7,13,-6,0.167,50.0,6,Direct,0
2014,Nigeria,CAF,65,27.0,7,4,0,3,16,4,12,0.571,31.0,4,Playoff,1
2014,Italy,UEFA,36,27.2,6,2,4,0,12,14,-2,0.333,29.0,7,Playoff,0
2014,Egypt,CAF,32,26.8,5,2,3,0,14,8,6,0.4,37.0,0,Direct,1
2018,Sweden,UEFA,49,27.5,6,0,4,2,10,10,0,0.0,71.0,0,Direct,0
2018,Nigeria,CAF,44,26.5,4,1,2,1,7,2,5,0.25,26.0,1,Host,0
2018,Germany,UEFA,17,27.4,6,3,2,1,8,4,4,0.5,25.0,4,Direct,1
2018,Argentina,CONMEBOL,43,27.7,7,1,4,2,18,7,11,0.143,36.0,3,Direct,1
2018,Ghana,CAF,95,24.9,4,0,0,4,14,14,0,0.0,42.0,2,Host,0
2018,Poland,UEFA,71,25.5,4,0,4,0,17,8,9,0.0,38.0,1,Direct,0
2018,Mexico,CONCACAF,56,27.1,5,3,0,2,19,14,5,0.6,57.0,2,Host,0
2018,Chile,CONMEBOL,17,,6,2,1,3,11,3,8,0.333,65.0,1,Direct,1
2018,Denmark,UEFA,41,28.1,4,0,0,4,4,8,-4,0.0,42.0,2,Host,0
2018,South Korea,AFC,63,26.2,4,2,2,0,2,12,-10,0.5,66.0,7,Playoff,0
2018,Egypt,CAF,97,28.1,7,5,2,0,17,4,13,0.714,71.0,4,Playoff,0
2018,Brazil,CONMEBOL,31,26.1,5,1,0,4,17,13,4,0.2,38.0,3,Direct,0
2018,England,UEFA,2,29.1,4,3,0,1,11,2,9,0.75,22.0,6,Host,1
2018,Serbia,UEFA,14,26.2,7,5,0,2,3,5,-2,0.714,63.0,2,Playoff,0
2018,Spain,UEFA,24,25.1,5,2,1,2,18,2,16,0.4,70.0,0,Playoff,0
2018,Senegal,CAF,75,27.7,6,0,5,1,12,14,-2,0.0,23.0,1,Playoff,0
2018,Morocco,CAF,96,27.9,5,1,4,0,11,4,7,0.2,60.0,5,Playoff,0
2018,Colombia,CONMEBOL,34,27.0,7,6,0,1,11,6,5,0.857,40.0,2,Direct,0
2018,Uruguay,CONMEBOL,49,25.8,4,0,4,0,8,10,-2,0.0,64.0,0,Playoff,0
2018,Japan,AFC,71,27.1,7,1,3,3,12,1,11,0.143,70.0,4,Host,0
2018,Portugal,UEFA,30,28.7,6,3,0,3,8,8,0,0.5,54.0,5,Playoff,0
2018,Netherlands,UEFA,33,29.2,4,0,1,3,5,4,1,0.0,38.0,2,Host,0
2018,Australia,AFC,82,,4,0,0,4,9,1,8,0.0,20.0,0,Direct,0
2018,Cameroon,CAF,51,26.8,6,2,1,3,6,12,-6,0.333,63.0,2,Playoff,1
2018,Italy,UEFA,12,26.3,7,2,2,3,18,13,5,0.286,36.0,9,Direct,0
2018,Ecuador,CONMEBOL,56,24.9,7,7,0,0,9,5,4,1.0,36.0,6,Direct,0
2018,USA,CONCACAF,79,29.4,5,0,3,2,16,11,5,0.0,,0,Direct,0
2018,France,UEFA,32,28.0,6,0,6,0,8,14,-6,0.0,34.0,4,Host,0
2018,Austria,UEFA,57,25.1,6,6,0,0,19,14,5,1.0,71.0,6,Host,0
2018,Croatia,UEFA,26,27.8,7,2,3,2,14,2,12,0.286,22.0,4,Host,0
2018,Belgium,UEFA,64,26.5,6,6,0,0,18,4,14,1.0,48.0,5,Direct,0
2018,Switzerland,UEFA,42,28.9,5,3,1,1,3,7,-4,0.6,54.0,1,Playoff,1
2022,Ecuador,CONMEBOL,46,24.7,4,4,0,0,15,9,6,1.0,34.0,0,Direct,0
2022,Poland,UEFA,21,29.3,4,4,0,0,6,11,-5,1.0,79.0,5,Host,0
2022,Netherlands,UEFA,55,27.5,5,4,1,0,8,4,4,0.8,23.0,2,Direct,0
2022,Austria,UEFA,83,24.7,4,1,0,3,18,10,8,0.25,22.0,7,Playoff,0
2022,Germany,UEFA,47,25.6,4,2,1,1,18,13,5,0.5,78.0,9,Host,0
2022,Cameroon,CAF,71,29.5,6,2,4,0,16,9,7,0.333,28.0,3,Playoff,0
2022,Spain,UEFA,11,28.9,6,2,3,1,10,3,7,0.333,44.0,1,Playoff,0
2022,Senegal,CAF,49,29.2,6,2,1,3,16,6,10,0.333,27.0,2,Direct,1
2022,Switzerland,UEFA,27,24.9,7,7,0,0,14,12,2,1.0,24.0,4,Direct,1
2022,Belgium,UEFA,54,26.9,4,2,1,1,4,8,-4,0.5,59.0,1,Host,0
2022,Brazil,CONMEBOL,33,28.9,6,3,0,3,17,9,8,0.5,32.0,10,Direct,0
2022,Italy,UEFA,42,25.0,6,5,1,0,8,5,3,0.833,62.0,12,Playoff,1
2022,France,UEFA,31,28.6,5,2,0,3,8,2,6,0.4,55.0,1,Playoff,0
2022,Denmark,UEFA,21,,7,4,1,2,18,9,9,0.571,36.0,7,Host,0
2022,Uruguay,CONMEBOL,73,27.2,6,5,0,1,8,10,-2,0.833,60.0,7,Playoff,0
2022,Australia,AFC,69,25.4,4,4,0,0,5,4,1,1.0,51.0,3,Playoff,0
2022,Portugal,UEFA,73,28.0,5,0,1,4,2,6,-4,0.0,45.0,7,Host,0
2022,Chile,CONMEBOL,23,29.4,4,3,1,0,4,4,0,0.75,31.0,6,Direct,1
2022,Morocco,CAF,15,26.4,7,2,2,3,3,14,-11,0.286,53.0,4,Direct,0
2022,USA,CONCACAF,48,27.1,4,4,0,0,12,4,8,1.0,51.0,1,Host,0
2022,Croatia,UEFA,31,25.2,6,0,5,1,13,8,5,0.0,47.0,4,Direct,0
2022,Nigeria,CAF,68,29.3,6,0,4,2,4,11,-7,0.0,20.0,1,Playoff,0
2022,Japan,AFC,70,25.5,4,0,3,1,19,12,7,0.0,35.0,2,Playoff,0
2022,Ghana,CAF,62,25.3,6,5,1,0,8,3,5,0.833,48.0,7,Direct,0
2022,Colombia,CONMEBOL,12,25.4,6,0,5,1,15,7,8,0.0,36.0,5,Direct,0
2022,England,UEFA,22,27.4,4,1,3,0,9,11,-2,0.25,32.0,0,Direct,1
2022,Sweden,UEFA,73,26.5,6,6,0,0,7,11,-4,1.0,64.0,0,Direct,0
2022,Argentina,CONMEBOL,41,24.7,5,2,3,0,10,1,9,0.4,31.0,8,Playoff,1
2022,South Korea,AFC,89,26.9,7,3,0,4,11,8,3,0.429,51.0,1,Direct,0
2022,Serbia,UEFA,42,28.9,5,0,4,1,8,2,6,0.0,57.0,6,Playoff,0
2022,Mexico,CONCACAF,24,25.5,6,3,0,3,9,11,-2,0.5,22.0,2,Playoff,0
2022,Egypt,CAF,82,24.8,7,0,1,6,13,8,5,0.0,27.0,1,Playoff,0
